#种类	RANK	数值	TEXT
#满腹度			
8	5	2	前腿撞到衣柜
8	5	2	零食最爱
8	5	2	用头撞饲料箱
8	5	2	我爱氧气
8	5	2	科学的
8	5	2	热血
8	5	2	冷血
8	5	2	贫血
8	5	2	高血压
8	5	2	踏踏
8	1	2	黄色星球人
8	5	4	爱冒险
8	5	4	爱读书
8	5	4	喝吧
8	5	4	哪里痒啊？
8	5	4	话就这些
8	5	4	虚脱
8	5	4	集中
8	5	4	朋友逃走了
8	5	4	喜欢瘦小型的
8	5	4	圆圆可爱也舍不得丢掉
8	5	4	想游泳
8	5	4	海真好
8	5	4	想去山上
8	5	4	想吹吹风
8	5	4	推理中
8	5	4	想在叶缝阳光下打个盹
8	5	4	不甘心
8	5	4	噗噗～
8	5	4	搓搓揉揉
8	5	4	滚来滚去
8	5	4	摇摇晃晃
8	5	4	我爱泡澡
8	5	4	想出去
8	5	4	食金虫
8	5	4	喋喋不休
8	5	4	想战斗
8	5	4	很强喔？
8	5	4	很弱吧
8	5	4	体力比赛
8	5	4	自作聪明
8	5	4	火花
8	5	4	闪亮
8	5	4	黄金
8	5	4	力量
8	5	4	美味
8	5	4	偶尔也招呼一下
8	5	4	好动的
8	5	4	复活
8	5	4	潜伏中
8	5	4	喝啊ー！
8	5	4	呼啊！
8	1	4	黄色大帝
8	5	6	寂静
8	5	6	典雅
8	5	6	高扬
8	5	6	抑扬
8	5	6	未来
8	5	6	包容
8	5	6	友爱
8	5	6	冷彻
8	5	6	神圣
8	5	6	乡愁
8	5	6	天启
8	5	6	天明
8	5	6	明宝
8	5	6	妙乐
8	5	6	游览
8	5	6	友好
8	5	6	品性
8	5	6	孵卵
8	5	6	阳光
8	5	6	晦冥
8	5	6	辛辣
8	5	6	军神
8	5	6	溶融
8	5	6	日月
#抛弃台词	（家族兽的大小）		根据ESCAPE COUNTER，逃跑时会写在布告栏的台词
9	1	0	因为肚子饿，所以逃走。
9	1	0	快饿死了，所以逃走。
9	1	0	快要饿死了，只好逃走。
9	1	0	去寻找不会让人饿着的天地。
9	2	0	受不了饥饿，再见。
9	2	0	再见了，我不会忘了你们对我的残酷对待。
9	2	0	我想我们不会再见面了，永别了。
9	2	0	你们这些没有责任感的饲主，拜啦！
9	4	0	我会靠自己的力量生存下去的，再见。
9	4	0	我饿了。去打猎。不回来了。
9	4	0	我真的无法再忍耐你们的残酷对待，所以先逃走了。
9	4	0	不给饭吃的家族就是没用！拜啦！
9	6	0	再见了，无缘的家族成员们。
9	6	0	给你们这些没用的家族成员，我想我们不会再见了。
9	6	0	你们这些家伙真是烂到极点了。
9	6	0	再见了，无缘的人们。
#遗言			寿终正寝时写在布告栏上的台词
10	0	0	再见了，祝你们这个家族永远幸运。
10	0	0	再见了，也许有一天我们会在另一个次元中相遇。
10	0	0	再见了，祝你们好运。
10	0	0	再见了，愿幸运之风永远跟随你们。
10	0	0	再见，祝你们幸福。
10	0	0	再见，陪伴我的人们。
10	0	0	你们辛苦了，也许有一天我们能再相遇。
10	0	0	下次见啰！
#大往生时的台词会以密码的形式，当作日后任务中的关键字句。
#家卵托保官			
11	0	0	房间关闭了。
#20040806以后追加部分。（商用伺服器部分将斟酌情况再追加）
#逃走台词	（家族兽体型大小）		家族兽在成长期间逃走后，留在留言版上的台词。
12	1	0	真想吃点我爱吃的食物啊…
12	1	0	你们都不给我吃我喜欢的食物。
12	1	0	我想去找寻一个，能提供我喜欢的食物给我的地方。
12	1	0	我只是想吃点更好的食物啊～
12	2	0	不给我爱吃的食物，那我就不待了。
12	2	0	好想吃更多更多的好食物。
12	2	0	我要到一个能尽情吃喜欢食物的地方去。
12	2	0	我真希望能任性的批评你们提供的食物。
12	4	0	没几样东西是我爱吃的。
12	4	0	我想吃更多喜欢的食物啦！
12	4	0	我也是会偏食的！
12	4	0	真的好想吃喜欢的东西喔！
12	6	0	营养不足。
12	6	0	养分不足。
12	6	0	成长需要的营养不足。
12	6	0	产卵所需的养分不足。
#逃走台词	（家族兽体型大小）		逃走数值（以％值表示）对应家族兽想逃走的情形。
13	10	1	这个地方真不错。
13	40	1	有时候会饿着。
13	60	1	常觉得饥饿。
13	80	1	常常让我饿肚子了，真想逃走。
13	100	1	我想逃了！老是没饭吃！
13	10	2	这个地方真不错。
13	40	2	有时候会饿着。
13	60	2	常常没得吃，很想逃走啊。
13	80	2	太常让我饿肚子，我真的会逃喔！
13	100	2	再不给我食物我就逃走了ー！
13	10	4	放松
13	40	4	有时会肚子饿。
13	60	4	经常觉得饿。
13	80	4	饿得太过份，很想逃走。
13	100	4	饿得太离谱了！超想逃！
13	10	6	好感
13	40	6	不满
13	60	6	反感
13	80	6	讨厌
13	100	6	绝交
#逃走台词	（家族兽体型大小）		无法顺利成长，并且想逃走时所说的台词，约逃亡前一周开始出现。
14	7	1	不吃好东西的话就没办法顺利成长喔！
14	7	1	多给我一点喜欢的东西吃啦！不然逃给你看喔！
14	7	1	这样下去根本没办法长大，好想逃走喔！
14	7	1	不给我喜欢的东西吃，要我怎么成长呢？
14	7	2	成长所需要的营养不足，给我喜欢的东西吃！
14	7	2	营养不够了！
14	7	2	再不给我喜欢的东西吃我就要逃了喔！
14	7	2	逃走！不给我喜欢的东西吃我就要逃！
14	7	4	不提供我所需的食物，我就无法成长。
14	7	4	若无法成长，我只好逃了。
14	7	4	成长是需要好食物的！
14	7	4	不给我好东西吃我就走！
14	7	6	产卵所需的好食物不足。
14	7	6	喜欢的食物提供不够的话，就无法产卵。
14	7	6	为了产卵，我必须吃更多的好东西才行。
14	7	6	喜欢的食物严重不足。
#营养不足	（家族兽体型大小）		无法成长而想逃时所说的台词　从可成长日数开始
15	7	1	不吃好食物会营养不足
15	7	1	希望能多给我一些想吃的食物
15	7	1	这样下去是无法成长的
15	7	1	要成长就需要好食物
15	7	2	正值成长期却营养不足
15	7	2	营养不足！
15	7	2	希望能多给我一些想吃的食物
15	7	2	想要好食物～@Q@
15	7	4	不给我想吃的食物就无法成长
15	7	4	差不多成长的时候到了却无法成长
15	7	4	成长需要好食物！
15	7	4	多一点好食物！
15	7	6	产卵所需好食物不足
15	7	6	喜欢的食物提供不够的话，就无法产卵。
15	7	6	为了产卵，我必须吃更多的好东西才行。
15	7	6	喜欢的食物严重不足。
