00100_field1	芙蕾雅
04012_sontyo	村长的家|0
04013_sontyo	村长的家|0
04020_room	民家|0
04021_pub	客房|0
04022_room	客房|0
04099_gateroom	杰诺瓦镇的传送点|0
04100_asteria	阿斯提亚镇
04130_shrine	神殿|0
04131_shrine	众神之墓|0
04140_hos	回复之间|0
04141_zakka	神殿|0
04142_hiroma	大厅|0
04143_room	神殿|0
04144_room	神殿|0
04145_room	神殿|0
04146_room	神殿|0
04200_tina	蒂娜村
04201_nighttina	蒂娜村|2
04206_syokuryou	食品材料店|0
04208_pub	酒吧|0
04209_pub	酒吧的地下室|0
04210_hos	医院|0
04211_hos	医院|0
04212_sontyo	村长的家|0
04213_sontyo	村长的家|0
04214_sontyo	村长的家|0
04220_room	民家|0
04221_room	酒吧的地下室|0
04222_room	酒吧的地下室|0
04230_nightpub	酒吧|0
04232_nightgateroom	蒂娜村的传送点|0
04299_gateroom	蒂娜村的传送点|0
04300_alpanes	阿巴尼斯村
04308_pub	酒吧|0
04309_pub	酒吧的地下室|0
04310_hos	医院|0
04312_sontyo	村长的家|0
04313_sontyo	村长的家|0
04320_room	民家|0
04321_room	客房|0
04322_room	客房|0
04330_room	民家|0
04331_under	民家地下|0
04332_under	民家地下|14
04333_room	民家|14
04334_under	民家地下|14
04335_under	民家地下|0
04399_gateroom	阿巴尼斯村的传送点|0
04400_daigakuimo	魔法大学
04401_jikenroom	实验室|0
04402_b1	地下实验室|0
04403_doukutu	青龙的洞窟 1楼|0
04404_doukutu	青龙的洞窟 地下1楼|0
04405_doukutu	青龙的洞窟 地下2楼|0
04406_doukutu	青龙的洞窟 2楼|0
04407_doukutu 	青龙的洞窟 3楼|0
04408_doukutu	青龙的洞窟 4楼|0
04409_doukutu	青龙之巢|0
04410_magicschool	魔法大学内部|0
04411_room	技术室|0
04412_room	更衣室|0
04413_room	调理室|0
04414_room	教室|0
04415_room	教室|0
04416_staffroom	教师室|0
04417_musicroom	音乐室|0
04418_arena	礼堂|0
04419_presidentroom	学长室|0
04420_lumberroom	保健室|0
04421_successroom	合格房间|0
04422_katiku	家畜小屋|0
04423_katiku	家畜小屋|0
04424_katiku	家畜小屋|0
04430_jikenroom	实验室|0
04431_musicroom	音乐室|13
04432_musicroom	音乐室|2
04451_souko	仓库内部|0
04452_souko	仓库内部|0
04453_souko	仓库内部|0
04454_souko	仓库内部|0
04455_souko	仓库内部|0
04456_titeiko	地底湖 地下1楼|6
04457_titeiko	地底湖 地下2楼|6
04500_haioku	废屋|6
04501_saidan	被封闭的祭坛|0
04502_saidan	被封闭的祭坛|0
04800	民家|0
04801	民家|0
04802	民家|0
04803	民家|0
04804	民家|0
04805	民家|0
04806	民家|0
04807	民家|0
04808	民家|0
04809	民家|0
04810	民家|0
04811	民家|0
04812	民家|0
05000_gobmura	哥布林镇|0
05001_nokka	大地鼠婆婆之家|0
05002_nokka	大地鼠婆婆之家|0
05003_room	饲养师训练所|0
05004_gmfloor	启程之间
05005	井的底部|6
05006	希尔薇亚的家|0
05007_room	民家|0
05008_candy	香蒂的房间|0
05009_candy	香蒂的房间|0
05010_candy	香蒂的房间|0
05011_candy	香蒂的房间|0
05012_candy	香蒂的房间|0
05013_candy	香蒂的房间|0
05014_candy	香蒂的房间|0
05015_ryu	龙之住处|10
05016_chuso	黄金之洞窟 地下50阶|10
06100_eel	伊尔村
06200_willnoa	维诺亚村
06300_ukrum	乌克兰
06400_seraluca	圣拉鲁卡村
06500_aryurt	亚留特村
11000_tunnel_C	维诺亚洞穴 地下1楼|12
11001_tunnel_C	维诺亚洞穴 地下2楼|12
11002_tunnel_C	维诺亚洞穴 地下3楼|12
11003_tunnel_D	哈巴鲁东边洞穴 地下1楼|12
11004_tunnel_D	哈巴鲁东边洞穴 地下2楼|12
11005_tunnel_D	哈巴鲁东边洞穴 地下1楼|12
11006_caveA	试炼之洞窟 第1层|12
11007_caveA	试炼之洞窟 第2层|12
11008_caveA	试炼之洞窟 第3层|12
11009_caveA	试炼之洞窟 第4层|12
11010_caveA	试炼之洞窟 第5层|12
11011_caveA	试炼之洞窟 大厅|12
11012_cave_fA	地下道|12
11013_bordA	国营第24坑道 地下1楼|12
11014_bordA	国营第24坑道 地下2楼|12
11015_tutor2	灵堂|5
11016_usi_A	洞窟|12
11017_usi_B	牛鬼的洞穴|6
11018_usi_C	牛鬼的洞穴|6
11019_usi_D	宝物库|6
11020_komuramasa	小村正之洞窟|12
11021_kobizen	小备前之洞窟|12
11022_tunnel_C	小路|12
11023_seodoa	谢欧尔洞窟|12
11024_viking	谜之洞窟|12
11025_caveA	国营第24坑道  地下3楼|12
11026_caveA	国营第24坑道  地下3楼|12
11027_caveA	国营第24坑道  地下4楼|12
11028_tunnel_D	欧兹那克的小房间|12
11029_take	又小又暗的洞窟|6
11030_take	竹的住处|6
11031_kodaiju	古代树
11032_jukai	树海|4
11033_earth00	土之洞窟|4
11034_earth01	土之洞窟第一层|4
11035_earth02	土之洞窟第二层|4
11036_earth03	土之洞窟第三层|4
11037_earth04	土之洞窟第四层|4
11038_nazo	充满谜的房间|9
11039_kodaiju2	古代树|14
11040_kodaiju3	古代树|14
11111_sample	测试房间
11500_caveA	国营第24坑道  地下3楼|12
11501_caveA	国营第24坑道  地下4楼|12
11502_caveA	国营第24坑道  地下4楼|12
13001_tunnel_E	角笛大风穴|12
13002_hill	流星山丘  100公尺
13003_hill	流星山丘|12
13004_hill	流星山丘  200公尺
13005hill	流星山丘|12
13006_hill	流星山丘  250公尺
13007_hill	流星山丘|12
13008_hill	流星山丘  300公尺
13009_hill_summit	流星山丘之顶
13010_hill	流星山丘  200公尺
13011_hill	流星山丘|12
13012_hill	流星山丘|12
13013_hill	流星山丘|12
13014_hill	流星山丘  100公尺
13015_bottart	波塔洞窟|12
13016_hokora	沙漠之庙|2
13017_hokora	沙漠之庙|2
13018_hokora	沙漠之庙|2
13019_hokora	沙漠之庙|2
13020_hokora	沙漠之庙|2
13021_hokora	沙漠之庙|2
13022_hokora	沙漠之庙  地下6楼|2
13500_n_doukutu	鲶鱼洞窟  地下1楼|0
13501_n_doukutu	鲶鱼洞窟  地下2楼|0
13502_n_doukutu	鲶鱼洞窟  地下3楼|0
13503_chiteiko	鲶鱼洞窟的地底湖|0
13504_chiteiko	鲶鱼洞窟的地底湖|0
13505_namazu	鲶鱼大王的口内|0
13506_syokudou	鲶鱼大王的胃袋|0
13507_ibukuro00	鲶鱼大王的胃袋|0
13508_ibukuro01	鲶鱼大王的胃袋|0
13509_ibukuro02	鲶鱼大王的胃袋|0
13510_tuuro	鲶鱼大王的通道|0
13511_syocyo00	鲶鱼大王的大肠|0
13512_syocyo01	鲶鱼大王的大肠|0
13513_syocyo02	鲶鱼大王的大肠|0
13514_tuuro	鲶鱼大王的通道|0
13515_daicyo	鲶鱼大王的小肠|0
14000_tunnel_F	莎莲娜西方洞窟|12
14001_tunnel_F	莎莲娜西方洞窟|12
14002_tunnel_F	莎莲娜西方洞窟|12
14003_doukutu1f	莎莲娜东方洞窟 地下1楼|12
14004_doukutu2f	莎莲娜东方洞窟 地下2楼|12
14005_doukutu3f	莎莲娜东方洞窟 地下3楼|12
14006_doukutu4f	莎莲娜东方洞窟 地下2楼|12
14007_doukutu5f	莎莲娜东方洞窟 地下1楼|12
14008_doukutu6f	洞窟(假) 6楼|12
14009_doukutu7f	洞窟(假) 7楼|12
14010_sando	参道|12
14011_sando	参道|12
14012_sando	参道|12
14013_sando	参道|12
14014_sando	参道|12
14015_sando	参道|12
14016_sando	参道|12
14017_viking2	海贼海湾|6
14018_vikingB6	海贼指挥部|0
14019_vikingB5	海贼指挥部  地下5楼|0
14020_vikingB4	海贼指挥部  地下4楼|0
14021_vikingB3	海贼指挥部  地下3楼|0
14022_vikingB2	海贼指挥部  地下2楼|0
14023_vikingB1	海贼指挥部|0
14024_vikingboss	海贼指挥部|0
14025_vikingF1	海贼指挥部|0
14036_vikingboss2	海贼指挥部|0
14037_vikingboss3	海贼指挥部|0
14038_vikingboss4	海贼指挥部|0
14039_viking	海贼的秘道|6
15000_tunnel_A	莎莲娜海底洞窟 地下1楼|6
15001_tunnel_A	莎莲娜海底洞窟 地下2楼|6
15002_tunnel_A	莎莲娜海底洞窟 地下1楼|6
15003_tunnel_B	索奇亚海底洞窟 地下2楼|6
15004_tunnel_B	索奇亚海底洞窟 地下1楼|6
15005_tunnel_B	索奇亚海底洞窟 地下1楼|6
15006_tunnel_A	莎莲娜海底洞窟 地下2楼|6
15007_zyuzyutu	咒术师的秘密住处|6
15008_rouka	咒术师的秘密住处|6
15009_smroom	咒术师的秘密住处|6
15010_smroom	咒术师的秘密住处|6
15011_gmroom	咒术师的秘密住处|6
15012_gmroom	咒术师的秘密住处|6
15101_extraA1	矿山|12
15102_extraA2	开放的矿山2|12
15103_viking	海贼的矿山|0
15201_extraB1	岛
15202_extraB2	岛
15203_viking	海贼之岛
15301_extraC1	森林
15303_viking	海贼之森
15400_tunnel_G	冰之洞窟|6
15401_tunnel_G	冰之洞窟|6
15402_tunnel_G	冰之洞窟 2楼|6
15500_devilabo	阿鲁巴斯研究所|2
15501_room	怪医生的家|0
15502_room	奇怪的地下室|0
15503_devilabo	黑暗医生的研究所|12
15504_devilabo	黑暗医生的研究所|6
15505_devi2	阿鲁巴斯实验所|2
15506_devi2	阿鲁巴斯研究所|2
15507_plant	叹息之森林|12
15508_plant	叹息森林|0
15509_bigroom	旅馆|6
15510_grave	腐朽的祠堂|12
15511_fireplace	暖炉的底部|12
15513_hos	医院|0
15514_soroom	村长的家|0
15515_soroom	村长的家|0
15516_sontyo	村长的家|0
15517_plant	森林小路
15518_devi4	阿鲁巴斯的研究所|6
15519_devi4	阿鲁巴斯的研究所|6
15520_devi4	阿鲁巴斯的研究所|6
15521_kasumi	霞之洞窟  最下层|5
15522_hyoga	雪山之顶
15523_hyoga_koya	雪山小屋|0
15524_usi	峡之洞窟|6
15525_usi	峡之洞窟|6
15526_usi	峡之洞窟|6
15527_usi	酒之殿堂|0
15528_usi	牛之殿堂|14
15529_usi	牛之殿堂|14
15530_usi	峡之洞窟|6
15531_devi5	地下水脉|6
15532_devi5	黑暗沼泽 1楼|2
15533_devi5	黑暗沼泽 2楼|2
15534_houmotu	宝物库|0
15535_devi5	黑暗医生集团总部|2
15536_toudo	永久冻土的地下|0
15537_toud	白之祭坛|2
15538_devi5	地底的龟裂处|6
15539_devi5	黑之祭坛|7
15540_toud-	白之祭坛|2
15541_devi5-	黑之祭坛|7
15542_undine	水之洞窟|2
15543_undine	水之洞窟中层|2
15544_undine	水之试炼|2
15545_undine	充满谜的房间|2
15546_undine	水之试炼|2
15547_undine	水之试炼|2
15548_siro	询问处|2
15549_kuro	询问处|7
15550_hai	询问处|0
15551_dora	光明与黑暗的祭坛|15
15552_genkan	玄关|0
15553_hai2	询问处|0
15554_siro3	询问处|2
15555_kuro3	询问处|7
15556_hai3	询问处|0
15557_siro0	询问处|2
15558_kuro0	询问处|7
15559_siro2	询问处|2
15560_kuro2	询问处|7
15561_siro4	询问处|2
15562_hai4	询问处|0
15563_kuro4	询问处|7
15564_hone	风之洞窟|3
15565_hone	风之洞窟 10楼|3
15566_hone	风之洞窟 10楼|3
15567_hone	风之洞窟 20楼|3
15568_hone	大风穴山顶|0
15569_hone	古老的巢穴|3
15570_hone	充满谜的房间|9
15571_gran	光明与黑暗的祭坛
15572_gran	光明与黑暗的祭坛
15573_gran	光明与黑暗的祭坛
15574_ougon	走失的龙之巢 最下层|5
15575_midori	小翠的家|0
15576_seiya	圣夜的家|0
15577_midorikako	小翠的家|14
15578_brackca	黑龙城宫殿|7
15579_siroca	白龙城宫殿|2
15800_boss	尽头|12
15580_soukutu	古老的巢穴|3
15581_grapass_n	往北的下山道
15582_grapass_s	往南的下山道
15583_siroca2	白龙城 20楼|2
15584_brackca2	黑龙城 20楼|7
15585_siroca3	白龙城天守阁|2
15586_brackca3	黑龙城天守阁|7
15587_seiya2	圣夜的家|0
15588_gran	黑暗之窗|2
15589_siro20	白龙城 20楼|2
15590_kuro20	黑龙城 20楼|7
15592_kaitei1	维诺亚海底洞窟|2
15593_kaitei2	维诺亚海底洞窟|2
15594_kaitei3	维诺亚海底洞窟|2
15595_entrance	炎之洞窟|8
15596_fdun16	炎之洞窟 地下16楼|8
15597_f_shiren1	炎之试炼|8
15598_f_shiren2	炎之试炼|8
15599_kairo	炎之回廊|8
15600_nazo	充满谜的房间|8
16500_hokora	海盗的祠堂|12
16501_A_dungeon	亚留特西方洞窟|12
16502_B_dungeon	亚留特西方洞窟|12
16503_viking	野狼船长的灵堂|9
16504_viking	野狼船长的灵堂|9
16505_dangeon	海贼洞窟|0
16506_rubi	露比的房间|6
16507_dun	海底洞窟 地下3楼|12
16508_rubi	黑之祈祷|12
16509_rubi	黑之祈祷|12
16510_oldcastle	入口|0
16511_oldcastle	静谧之间|0
16512_oldcastle	静谧之间|0
16513_oldcastle	咒缚之帐|6
16514_oldcastle	静谧之间|0
16515_oldcastle	静谧之间|0
16516_viking	海贼洞窟 地下1楼|12
16517_viking	海贼洞窟 地下2楼|12
16518_viking	海贼洞窟 地下3楼|12
16519_viking	海贼洞窟 地下4楼|12
16520_ajito	蜥蜴之巢 地下11楼|12
16521_ajito	蜥蜴之巢|12
20000_cg	天地之门|0
20001_gate	佛利波罗传送点|0
20002_gate	阿卡斯传送点|0
20003_gate	阿卡斯传送点|0
20004_cg	巴洛斯传送点|0
20005_cg	巴洛斯传送点|0
20101_towerA	六曜之塔 1楼|0
20102_towerA	六曜之塔 2楼|0
20103_towerA	六曜之塔 3楼|0
20104_towerA	六曜之塔 4楼|0
20105_towerA	六曜之塔 5楼|0
20106_towerA	六曜之塔 6楼|0
20107_towerA	六曜之塔 7楼|0
20108_towerA	六曜之塔 8楼|0
20109_towerA	六曜之塔 9楼|0
20110_towerA	六曜之塔 10楼|0
20111_towerA	六曜之塔 1楼|0
20112_towerA	六曜之塔 10楼|0
20113_towerA	六曜之塔 10楼|0
20114_towerA	六曜之塔 10楼|0
20115_towerA	六曜之塔 10楼|0
20116_towerA	六曜之塔 10楼|0
20117_towerA	六曜之塔 10楼|0
20118_towerA	六曜之塔 10楼|0
20119_towerA	六曜之塔 10楼|0
20120_rastboss	月之神殿|4
20121_rastboss	月之神殿|4
20150_boss	六曜之塔 1楼|0
20151_boss	六曜之塔 1楼|0
20152_boss	六曜之塔 4楼|0
20153_boss	六曜之塔 4楼|0
20154_boss	六曜之塔 5楼|0
20155_boss	六曜之塔 5楼|0
20156_boss	六曜之塔 6楼|0
20157_boss	六曜之塔 6楼|0
20158_boss	六曜之塔 7楼|0
20159_boss	六曜之塔 7楼|0
20160_boss	六曜之塔 7楼|0
20161_boss	六曜之塔 7楼|0
20162_boss	六曜之塔 7楼|0
20163_boss	六曜之塔 7楼|0
20164_boss	六曜之塔 8楼|0
20165_boss 	六曜之塔 8楼|0
20166_boss	六曜之塔 9楼|0
20167_boss	六曜之塔 9楼|0
20168_boss	六曜之塔 9楼|0
20169_boss	六曜之塔 9楼|0
20199_towerA	石之塔 99楼|0
20301_towerB	风鸣之塔 1楼|0
20302_towerB	风鸣之塔 2楼|0
20303_towerB	风鸣之塔 3楼|0
20304_towerB	风鸣之塔 4楼|0
20305_towerB	风鸣之塔 5楼|0
20306_towerB	风鸣之塔 6楼|0
20307_towerB	风鸣之塔 7楼|0
20308_towerB	风鸣之塔 8楼|0
20309_towerB	风鸣之塔 9楼|0
20310_towerB	风鸣之塔 10楼|0
20414_towerC	神篱|4
20428_towerC	神篱|4
20429_towerC	神篱|4
20501_towerC	冰雪之牢城 第1层|6
20502_towerC	冰雪之牢城 第2层|6
20503_towerC	冰雪之牢城 第3层|6
20504_towerC	冰雪之牢城 第4层|6
20505_towerC	冰雪之牢城 第5层|6
20506_towerC	冰雪之牢城 第6层|6
20507_towerC	冰雪之牢城 第7层|6
20508_towerC	冰雪之牢城 第8层|6
20509_towerC	冰雪之牢城 第9层|6
20510_towerC	冰雪之牢城 第10层|6
20511_towerC	冰雪之牢城 第11层|6
20512_towerC	冰雪之牢城 第12层|6
20513_towerC	冰雪之牢城 第13层|6
20514_towerC	冰雪之牢城 第1层|6
20515_towerC	冰雪之牢城 第2层|6
20516_towerC	冰雪之牢城 第3层|6
20517_towerC	冰雪之牢城 第5层|6
20518_towerC	冰雪之牢城 第5层|6
20519_towerC	冰雪之牢城 第8层|6
20520_towerC	冰雪之牢城 第11层|6
20521_towerC	冰雪之牢城 第12层|6
20522_towerC	冰雪之牢城 第13层|6
20524_towerC	冰雪之牢城 第6层|6
20525_towerC	冰雪之牢城 第10层|6
20526_towerC	冰雪之牢城 第13层|6
20527_towerC	冰雪之牢城 第8层|6
20530_towerC	冰雪之牢城 第8层|6
21000_warehouse	仓库  地下3楼|0
21001_warehouse	仓库  最下层|12
21002_warehouse	仓库  地下1楼|0
21003_warehouse	仓库  地下2楼|0
21004_warehouse	仓库  最下层|12
21005_bigroom	豪宅|0
21006_mirrorroom	镜中的豪宅|7
21007_bigroom	豪宅  地下|0
21008_bigroom2f	豪宅  2楼|0
21009mirrorroom2f	镜中的豪宅  2楼|7
21010_bigroom3f	豪宅  阁楼|0
21011_mirrorroom	镜中的豪宅  阁楼|7
21012_bigroom2f	豪宅  2楼|0
21013_bigroom	豪宅|0
21014_ninjayasiki-1f	忍者之家|0
21015_ninjaroom-a	忍者之家|0
21016_ninjaroom-b	忍者之家|0
21017_ninjayasiki-2f	忍者之家2楼|0
21018_ninjayasiki-2f	忍者之家  隐藏道路|0
21019_ninjayasiki-3f	忍者之家三楼|0
21020_ninjayasiki-3F	忍者之家三楼|0
21021_ninjayasiki-exit	忍者之家|0
21022_ninjayasiki-B1	忍者屋敷  地下1楼|12
21023_ido	井的底部|12
21024_ido	通路|12
21025_ido	通路|12
21050_ninjahill	忍者的隐居地|0
21051_ninjaroad	小路|0
21500_rouya	地下牢房|0
21501_room	仓库内部|0
21502_takara	有宝箱的房间|0
23000_raurence	帝都阿斯法  地下|14
23001_raurence	罗连斯研究塔  最上层|0
23002_raurence	罗连斯研究塔  最上层|0
23003_raurence	帝都阿斯法  地下|0
23500_simitu	吉光的房间|0
23501_simitu	吉光的房间|0
23600_kakutou	大厅|0
23601_kakutou	医务室|0
23603_kakutou	师范的房间|0
23604_kakutou	心之房|9
23605_kakutou	技之房|8
23606_kakutou	体之房|7
23607_kakutou	六角型擂台|10
24000_shrine	开启者之间|4
24001_shrine	洗礼的试炼|4
24002_shrine	阿尔杰斯的慈悲|0
24003_shrine	圣坛|0
24004_shrine	圣坛|0
24005_shrine	圣坛|0
24006_shrine	圣餐之间|0
24007_shrine	圣餐之间|0
24008_undertower	诅咒的迷宫|12
24009_undertower	诅咒的迷宫 地下1楼|6
24010_undertower	诅咒的迷宫 地下2楼|6
24011_undertower	诅咒的迷宫 地下3楼|6
24012_undertower	诅咒的迷宫 地下4楼|6
